odd,u-xs-avatar src,text-primary,text-primary href,sorting_1,odd 2,odd 3,odd 4,odd 5,even,even 2,even 3,even 4,even 5
1,https://bscscan.com/token/images/busd_32_2.png,Binance-Peg BUSD Token (BUSD),https://bscscan.com/token/0xe9e7cea3dedca5984780bafc599bd69add087d56,"$3,615,372,646,740.14 ","3,615,352,389,559.16 BUSD","81,087,020","60,984,937",365840413,,,,,
,https://bscscan.com/token/images/busdt_32.png,Binance-Peg BSC-USD (BSC-USD),https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,"$3,368,602,506,682.94 ",,,,,2,"3,365,237,269,413.52 BSC-USD","91,401,261","77,132,595",344340123
3,https://bscscan.com/token/images/venus-vbusd_32.png,Venus BUSD (vBUSD),https://bscscan.com/token/0x95c78222b3d6e262426483d42cfa53685a67ab9d,"$1,678,368,983,556.34 ","77,173,408,748,330.30 vBUSD","100,294","89,617",964707,,,,,
,https://bscscan.com/token/images/venus-vusdt_32.png,Venus USDT (vUSDT),https://bscscan.com/token/0xfd5840cd36d94d7229439859c0112a4185bc0255,"$1,395,108,449,342.54 ",,,,,4,"63,750,018,082,465.50 vUSDT","69,526","65,691",569549
5,https://bscscan.com/token/images/zilliqa_32.png,Zilliqa (ZIL),https://bscscan.com/token/0xb86abcb37c3a4b64f74f59301aff131a1becc787,"$1,046,674,577,520.22 ","47,007,138,482,442.10 ZIL","206,000","143,291",664034,,,,,
,https://bscscan.com/token/images/centre-usdc_28.png,Binance-Peg USD Coin (USDC),https://bscscan.com/token/0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,"$850,095,989,688.54 ",,,,,6,"849,246,742,945.59 USDC","6,955,370","5,946,024",29524275
7,https://bscscan.com/token/images/binance_32.png,Wrapped BNB (WBNB),https://bscscan.com/token/0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,"$625,032,198,372.73 ","2,157,374,660.87 WBNB","10,918,892","10,381,616",731074619,,,,,
,https://bscscan.com/token/images/venus-vbtc_32.png,Venus BTC (vBTC),https://bscscan.com/token/0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,"$520,993,068,984.64 ",,,,,8,"598,530,873.92 vBTC","122,072","73,551",488683
9,https://bscscan.com/token/images/btcb_32.png,Binance-Peg BTCB Token (BTCB),https://bscscan.com/token/0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,"$505,917,355,770.46 ","29,375,495.81 BTCB","6,569,863","2,442,357",26623416,,,,,
,https://bscscan.com/token/images/ethereum_32.png,Binance-Peg Ethereum Token (ETH),https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8,"$494,186,360,291.69 ",,,,,10,"385,441,694.91 ETH","11,306,925","5,215,115",38815948
11,https://bscscan.com/token/images/binance-beth_32.png,Binance Beacon ETH (BETH),https://bscscan.com/token/0x250632378e573c6be1ac2f97fcdf00515d0aa91b,"$484,205,766,582.17 ","320,304,927.92 BETH","129,452","117,719",516094,,,,,
,https://bscscan.com/token/images/venus-vusdc_32.png,Venus USDC (vUSDC),https://bscscan.com/token/0xeca88125a5adbe82614ffc12d0db554e2e2867c8,"$425,663,111,538.45 ",,,,,12,"19,577,568,570,705.10 vUSDC","38,545","33,997",336910
13,https://bscscan.com/token/images/dai_32.png,Binance-Peg Dai Token (DAI),https://bscscan.com/token/0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,"$192,849,765,458.83 ","192,920,675,826.16 DAI","1,229,546","1,049,447",6654996,,,,,
,https://bscscan.com/token/images/pancake_32.png?=v1,PancakeSwap Token (Cake),https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,"$156,843,447,408.98 ",,,,,14,"39,506,845,528.05 Cake","28,063,499","21,647,506",178714821
15,https://bscscan.com/token/images/venus-vdai_32.png,Venus DAI (vDAI),https://bscscan.com/token/0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,"$105,413,582,960.46 ","4,894,459,018,127.62 vDAI","10,540","8,839",104002,,,,,
,https://bscscan.com/token/images/venus-veth_32.png,Venus ETH (vETH),https://bscscan.com/token/0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,"$96,037,574,162.79 ",,,,,16,"8,476,900,920.45 vETH","88,110","62,205",396332
17,https://bscscan.com/token/images/siacashcoin_32.png,SiaCashCoin (SCC),https://bscscan.com/token/0xc26eafc627624badf990f8d30116892ed204db51,"$38,440,073,368.87 ","50,000,095,432,978,700.00 SCC","19,396","2,583",24336,,,,,
,https://bscscan.com/token/images/venus-vbeth_32.png,Venus BETH (vBETH),https://bscscan.com/token/0x972207a639cc1b374b893cc33fa251b55ceb7c07,"$33,724,360,778.74 ",,,,,18,"532,966,024.93 vBETH","10,218","8,263",47276
19,https://bscscan.com/token/images/trueusd_32.png,Binance-Peg TrueUSD Token (TUSD),https://bscscan.com/token/0x14016e85a25aeb13065688cafb43044c2ef86784,"$23,461,426,025.61 ","23,466,917,284.26 TUSD","158,596","139,697",570963,,,,,
,https://bscscan.com/token/images/venus-vai_32.png,VAI Stablecoin (VAI),https://bscscan.com/token/0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,"$21,656,857,508.70 ",,,,,20,"22,156,358,830.64 VAI","343,421","338,249",1884515
21,https://bscscan.com/token/images/trust_32.png?v=1,Trust Wallet (TWT),https://bscscan.com/token/0x4b0f1812e5df2a09796481ff14017e6005508003,"$21,564,018,781.37 ","8,429,277,376.50 TWT","1,392,262","1,011,395",3762060,,,,,
,https://bscscan.com/token/images/cardano_32.png,Binance-Peg Cardano Token (ADA),https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,"$15,574,769,245.38 ",,,,,22,"49,438,139,019.04 ADA","4,593,005","1,526,428",11683218
23,https://bscscan.com/token/images/polkadot_32.png,Binance-Peg Polkadot Token (DOT),https://bscscan.com/token/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,"$15,545,866,623.06 ","2,867,850,780.40 DOT","1,457,076","842,885",5625893,,,,,
,https://bscscan.com/token/images/ndbmoney_32.png,NDB (NDB),https://bscscan.com/token/0xf8028b65005b0b45f76988d2a77910186e7af4ef,"$14,961,614,083.40 ",,,,,24,"1,150,208,574,541.17 NDB",351,228,617
25,https://bscscan.com/token/images/xrp_32.png,Binance-Peg XRP Token (XRP),https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,"$14,115,089,780.02 ","35,837,434,372.09 XRP","1,881,960","773,195",5621001,,,,,
,https://bscscan.com/token/images/usdcgno_32.png,USDC (anyUSDC),https://bscscan.com/token/0x8965349fb649a33a30cbfda057d8ec2c48abe2a2,"$13,935,476,626.71 ",,,,,26,"13,921,555,071.64 anyUSDC","379,365","379,026",1073203
27,https://bscscan.com/token/images/chainlink_32.png?v=2,Binance-Peg ChainLink Token (LINK),https://bscscan.com/token/0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,"$11,861,119,462.17 ","1,699,300,782.55 LINK","706,279","386,252",2911983,,,,,
,https://bscscan.com/token/images/dogecoin_32.png,Binance-Peg Dogecoin Token (DOGE),https://bscscan.com/token/0xba2ae424d960c26247dd6c32edc70b295c744c43,"$10,053,168,882.00 ",,,,,28,"102,387,478,245.20 DOGE","9,174,561","1,737,873",24533505
29,https://bscscan.com/token/images/matic_32.png,Matic Token (MATIC),https://bscscan.com/token/0xcc42724c6683b7e57334c4e856f4c9965ed682bd,"$9,015,174,215.23 ","9,748,758,547.15 MATIC","1,541,033","541,791",4308787,,,,,
,https://bscscan.com/token/images/venus-vdot_32.png,Venus DOT (vDOT),https://bscscan.com/token/0x1610bc33319e9398de5f57b33a5b184c806ad217,"$6,864,049,819.65 ",,,,,30,"58,134,835,609.48 vDOT","42,130","28,948",160853
31,https://bscscan.com/token/images/venus-ada_32.png?=v1,Venus ADA (vADA),https://bscscan.com/token/0x9a0af7fdb2065ce470d72664de73cae409da28ec,"$6,304,067,558.94 ","973,800,093,331.85 vADA","35,412","24,510",125242,,,,,
,https://bscscan.com/token/images/galagames_32.png,pTokens GALA (GALA),https://bscscan.com/token/0x7ddee176f665cd201f93eede625770e2fd911990,"$5,734,541,140.77 ",,,,,32,"218,760,641,478.34 GALA","310,550","215,799",1095767
33,https://bscscan.com/token/images/litecoin_32.png,Binance-Peg Litecoin Token (LTC),https://bscscan.com/token/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,"$5,053,455,687.56 ","64,746,389.33 LTC","406,802","305,070",1702086,,,,,
,https://bscscan.com/token/images/venus-vlink_32.png,Venus LINK (vLINK),https://bscscan.com/token/0x650b940a1033b8a1b1873f78730fcfc73ec11f1f,"$4,797,029,751.73 ",,,,,34,"33,908,632,050.04 vLINK","20,003","14,172",107295
35,https://bscscan.com/token/images/babydoge_32.png,Baby Doge Coin (BabyDoge),https://bscscan.com/token/0xc748673057861a797275cd8a068abb95a902e8de,"$4,591,150,260.07 ","4,173,772,963,702,090,000.00 BabyDoge","4,018,340","1,766,121",6834132,,,,,
,https://bscscan.com/token/images/biswap_32.png,Biswap (BSW),https://bscscan.com/token/0x965f527d9159dce6288a2219db51fc6eef120dd1,"$4,076,295,843.17 ",,,,,36,"19,218,201,480.23 BSW","3,525,311","3,202,090",23343092
37,https://bscscan.com/token/images/alpacafinance2_32.png,AlpacaToken (ALPACA),https://bscscan.com/token/0x8f0528ce5ef7b51152a59745befdd91d97091d2f,"$3,655,255,099.00 ","13,319,104,563.14 ALPACA","927,474","844,407",9693198,,,,,
,https://bscscan.com/token/images/venus-vxrp_32.png,Venus XRP (vXRP),https://bscscan.com/token/0xb248a295732e0225acd3337607cc01068e3b9c10,"$3,529,509,833.34 ",,,,,38,"442,686,875,626.09 vXRP","14,994","11,082",47823
39,https://bscscan.com/token/images/avax_32.png,Binance-Peg Avalanche Token (AVAX),https://bscscan.com/token/0x1ce0c2827e2ef14d5c4f29a091d735a204794041,"$3,344,452,448.13 ","248,854,710.95 AVAX","345,046","186,411",1176860,,,,,
,https://bscscan.com/token/images/globalgametoken_32.png,GG TOKEN (GGTKN),https://bscscan.com/token/0x1f7e8fe01aeba6fdaea85161746f4d53dc9bda4f,"$3,180,311,528.45 ",,,,,40,"32,589,922,941.59 GGTKN","24,118","7,080",32232
41,https://bscscan.com/token/images/venusxvs_32.png,Venus (XVS),https://bscscan.com/token/0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,"$3,163,099,112.43 ","763,996,678.63 XVS","769,644","622,470",4761191,,,,,
,https://bscscan.com/token/images/swipe_32.png,Swipe (SXP),https://bscscan.com/token/0x47bead2563dcbf3bf2c9407fea4dc236faba485a,"$2,939,010,669.46 ",,,,,42,"11,966,996,899.20 SXP","315,005","237,983",1647110
43,https://bscscan.com/token/images/bakeryswap_32.png,BakeryToken (BAKE),https://bscscan.com/token/0xe02df9e3e622debdd69fb838bb799e3f168902c5,"$2,592,988,425.18 ","14,652,756,384.73 BAKE","1,161,492","842,083",7033373,,,,,
,https://bscscan.com/token/images/bittorrent_32.png,Binance-Peg BitTorrent Token (BTT),https://bscscan.com/token/0x8595f9da7b868b1822194faed312235e43007b49,"$2,569,878,277.92 ",,,,,44,"953,081,074,295.68 BTT","359,112","224,969",888823
45,https://bscscan.com/token/images/safepalvw_32.png,SafePal Token (SFP),https://bscscan.com/token/0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,"$2,374,924,219.95 ","5,102,046,802.07 SFP","1,104,543","883,801",3362575,,,,,
,https://bscscan.com/token/images/shibatoken_32.png,Binance-Peg SHIBA INU Token (SHIB),https://bscscan.com/token/0x2859e4544c4bb03966803b044a93563bd2d0dd4d,"$1,943,233,119.37 ",,,,,46,"209,630,533,492,158.00 SHIB","6,499,336","1,700,717",15203684
