token,token_name,market_cap,price,volume_24h,supply,price_chng_24h,price_chng_7d,serial
BUSD,Binance USD,$17.6 B,$1.00 ,$3.6 B,17.6 B,-0.01%,-0.09%,
TWT,Trust Wallet Token,$1.1 B,$2.63 ,$64.1 M,416.6 M,2.19%,7.54%,1
CAKE,PancakeSwap,$646.5 M,$3.93 ,$22.5 M,164.5 M,-1.90%,-1.50%,2
RUNE,THORChain,$457.1 M,$1.38 ,$12.5 M,330.7 M,-2.94%,0.99%,3
DOME,Everdome,$76.5 M,$0.00 ,$6.4 M,24.6 B,-13.64%,19.21%,4
WRX,WazirX,$74.9 M,$0.16 ,$3.4 M,456.5 M,-4.69%,-3.45%,5
MBOX,Mobox,$68.5 M,$0.45 ,$5 M,150.9 M,-3.07%,-3.93%,6
RACA,Radio Caca,$66.9 M,$0.00 ,$2.4 M,327.2 B,-3.99%,-7.76%,7
BSW,Biswap,$64.4 M,$0.21 ,$2.6 M,305.4 M,-1.40%,-0.79%,8
QUACK,RichQuack,$53.7 M,1.21E-09,$5.2 M,44454.3 T,-10.06%,8.00%,9
KRD,Krypton DAO,$47.1 M,$0.97 ,$29.8 K,48.7 M,2.81%,15.86%,10
ONUS,ONUS,$44.4 M,$0.46 ,$28 K,97.1 M,-0.91%,-3.57%,11
C98,Coin98,$42 M,$0.23 ,$9.1 M,185 M,-2.54%,-6.34%,12
ALPACA,Alpaca Finance,$40.6 M,$0.26 ,$851.1 K,154.1 M,-1.63%,-2.36%,13
ALPHA,Alpha Finance,$39.7 M,$0.09 ,$4.2 M,446.3 M,-4.19%,-2.02%,14
BTCST,BTC Standard Hashrate Token,$39 M,$5.35 ,$6.4 M,7.3 M,-12.17%,1.72%,15
SFUND,Seedify.fund,$38.4 M,$1.08 ,$3.7 M,35.5 M,-2.94%,0.76%,16
WWY,WeWay,$35.3 M,$0.01 ,$1.2 M,2.5 B,-2.07%,15.45%,17
BAKE,BakeryToken,$32.4 M,$0.17 ,$3.1 M,192.5 M,-6.11%,-12.01%,18
YOOSHI,YooShi,$29.9 M,7.99E-08,$2.8 M,373.9 T,-2.50%,-6.32%,19
ALPINE,Alpine F1 Team Fan Token,$28.8 M,$2.54 ,$1.6 M,11.4 M,-4.19%,-7.22%,20
LAZIO,Lazio Fan Token,$28.6 M,$4.68 ,$6.9 M,6.1 M,-5.33%,-11.12%,21
TKO,Tokocrypto,$27.7 M,$0.37 ,$100.9 K,75 M,6.02%,26.69%,22
UNFI,Unifi Protocol DAO,$27.3 M,$4.64 ,$16.4 M,5.9 M,-5.72%,0.63%,23
KUNCI,Kunci Coin,$26.7 M,$0.02 ,$888.3 K,1.2 B,-2.89%,-10.77%,24
PORTO,FC Porto,$26.5 M,$3.40 ,$5.3 M,7.8 M,-5.86%,-11.81%,25
SANTOS,Santos FC Fan Token,$22.7 M,$5.98 ,$5.4 M,3.8 M,-7.72%,-12.97%,26
COS,Contentos,$20.7 M,$0.00 ,$1.5 M,4.2 B,-2.54%,-3.64%,27
VAI,Vai,$20.5 M,$0.97 ,$14.6 K,21.2 M,-1.30%,-0.75%,28
PINKSALE,PinkSale,$17.6 M,$176.36 ,$49.3 K,100 K,-2.33%,-3.62%,29
PIT,Pitbull,$16.7 M,4.16E-10,$562.2 K,40192.2 T,-2.70%,-3.11%,30
CATE,CateCoin,$15.8 M,$0.00 ,$1.7 M,34.4 T,-3.37%,1.82%,31
JADE,Jade Protocol,$13.8 M,$14.56 ,$3.4 K,945.9 K,0.13%,-1.20%,32
QMALL,Qmall,$11 M,$0.40 ,$58.5 K,27.3 M,-3.22%,3.38%,33
BURGER,Burger Swap,$10.2 M,$0.60 ,$3.2 M,17.1 M,-6.20%,-9.69%,34
WOOP,Woonkly Power,$10 M,$0.02 ,$91.1 K,421.1 M,-0.88%,-5.39%,35
SPRT,Sportium,$9.5 M,$0.06 ,$119.5 K,167.2 M,4.93%,-1.56%,36
IHC,Inflation Hedging Coin,$7.9 M,$0.00 ,$127.2 K,119.6 B,-1.29%,-6.90%,37
POSI,Position Exchange,$7.8 M,$0.10 ,$2.1 M,76 M,-1.99%,-12.11%,38
BSCPAD,BSCPAD,$7.6 M,$0.10 ,$174.7 K,79.2 M,-2.87%,-1.68%,39
GZONE,GameZone,$6.9 M,$0.02 ,$13.1 K,408.3 M,-1.64%,-1.73%,40
MMPRO,Market Making Pro,$6.9 M,$0.07 ,$589 K,91.9 M,-0.55%,13.05%,41
SCLP,Scallop,$6.8 M,$0.17 ,$1.2 M,39.7 M,-9.11%,-15.64%,42
THG,Thetan Arena,$6.3 M,$0.06 ,$1 M,113.6 M,-2.23%,2.42%,43
BLP,BullPerks,$6.3 M,$0.03 ,$220.2 K,207.7 M,-2.94%,-11.33%,44
VRT,Venus Reward Token,$5.9 M,$0.00 ,$51.1 K,22 B,-0.57%,5.10%,45
ALU,Altura,$5.8 M,$0.01 ,$90.8 K,625.8 M,-3.33%,-0.44%,46
GAFI,GameFi,$5.8 M,$5.80 ,$319.5 K,998.1 K,-4.81%,-11.87%,47
ARV,Ariva,$5.6 M,$0.00 ,$1.3 M,72.6 B,-1.16%,-4.54%,48
STEAMX,Steam Exchange,$5.5 M,$0.00 ,$2 K,100 B,-3.80%,-6.12%,49
ETHAX,ETHAX,$5.4 M,$0.04 ,$73.6 K,126.8 M,-1.87%,1.02%,50
OMAX,Omax Token,$5.3 M,$0.00 ,$309.2 K,9.6 B,-0.98%,10.14%,51
TROY,Troy,$5.3 M,$0.00 ,$590 K,1.9 B,-2.87%,-3.16%,52
TIFI,TiFi,$4.8 M,5.22E-08,$6 M,92.1 T,-2.46%,-12.01%,53
WEX,WaultSwap,$4.5 M,$0.00 ,$13.6 K,7.5 B,2.24%,4.91%,54
VLXPAD,VelasPad,$4.1 M,$0.01 ,$12.7 K,436.4 M,-1.90%,-3.16%,55
WEGRO,WeGro,$4.1 M,$0.00 ,$1.5 K,2.8 B,-2.47%,-5.99%,56
STRX,StrikeX,$4.1 M,$0.03 ,$45 K,128.5 M,-5.43%,-0.13%,57
JMPT,JumpToken,$4 M,$2.27 ,$86.9 K,1.8 M,-0.94%,-2.48%,58
SPS,Splintershards,$4 M,$0.03 ,$1.2 M,125.7 M,-6.06%,-10.74%,59
DOBO,Dogebonk,$3.9 M,6.72E-09,$6.6 K,583 T,-5.12%,-3.89%,60
TABOO,Taboo Token,$3.9 M,$0.00 ,$143.8 K,9.8 B,-3.34%,-33.17%,61
POLYPAD,PolyPad,$3.5 M,$0.00 ,$22.3 K,1.1 B,-4.31%,-0.05%,62
BETU,BetU,$3.4 M,$0.03 ,$88.2 K,107.6 M,-1.55%,-9.67%,63
ADAPAD,ADAPad,$3.3 M,$0.01 ,$7.3 K,377.4 M,0.11%,-5.20%,64
KALM,Kalmar,$3.1 M,$0.56 ,$42.9 K,5.6 M,-3.30%,10.52%,65
CUMMIES,CumRocket,$3.1 M,$0.00 ,$10.1 K,1.3 B,-5.00%,-8.83%,66
SRY,Serey Coin,$3.1 M,$0.00 ,$298 ,1.1 B,-0.59%,0.97%,67
GAMI,GAMI World,$3 M,$0.42 ,$9.6 K,7.2 M,2.45%,4.18%,68
HAM,Hamster,$3 M,1.24E-09,$539.9 K,2384.2 T,-3.10%,-5.94%,69
MOVE,MarketMove,$2.9 M,$0.00 ,$37.6 K,215.5 B,-0.71%,-6.67%,70
DPET,My DeFi Pet,$2.8 M,$0.06 ,$719.6 K,50.2 M,6.01%,3.52%,71
BOG,Bogged Finance,$2.7 M,$0.19 ,$5.8 K,14 M,-5.00%,-8.31%,72
TRONPAD,TRONPAD,$2.6 M,$0.00 ,$15.3 K,765.2 M,-8.49%,-2.95%,73
Z7,Z7DAO,$2.5 M,$0.03 ,$17.2 K,85 M,-3.80%,-7.63%,74
SHI,Shirtum,$2.5 M,$0.01 ,$168.3 K,225.7 M,-5.61%,-5.83%,75
SRCX,Source Protocol,$2.4 M,$0.01 ,$18.8 K,294.1 M,0.02%,0.07%,76
TRUBGR,TruBadger,$2.4 M,4.62E-09,$269 ,512.8 T,-3.24%,-3.16%,77
KAMPAY,Kampay,$2.3 M,$0.01 ,$309.6 K,327.4 M,-9.03%,20.09%,78
XWIN,xWIN Finance,$2.2 M,$0.46 ,$49.6 K,4.7 M,-0.98%,-1.81%,79
BLITZ,Blitz Labs,$2 M,$0.01 ,$79.2 K,248.6 M,0.02%,9.54%,80
SWINGBY,Swingby,$1.9 M,$0.00 ,$110.7 K,905.1 M,-1.57%,0.69%,81
PLASTIK,Plastiks,$1.9 M,$0.02 ,$188.7 K,98.4 M,0.55%,5.88%,82
IDIA,Impossible Decentralized Incubator Access,$1.8 M,$0.04 ,$4.9 K,45 M,-3.75%,3.46%,83
1ART,ArtWallet,$1.8 M,$0.02 ,$83 K,116.1 M,-3.82%,-6.56%,84
METAPETS,MetaPets,$1.8 M,3.52E-11,$214 ,51587.4 T,-7.08%,-3.12%,85
KMON,Kryptomon,$1.8 M,$0.01 ,$24.7 K,189.8 M,-0.36%,-10.52%,86
APRIL,April,$1.8 M,$0.03 ,$69.3 K,54.4 M,3.20%,-9.20%,87
ANCHOR,AnchorSwap,$1.7 M,$0.01 ,$4.1 K,194.7 M,-3.88%,-12.34%,88
XWG,X World Games,$1.7 M,$0.00 ,$1 M,1.4 B,5.06%,-21.61%,89
CWT,CrossWallet,$1.6 M,$0.01 ,$831 ,125 M,-2.97%,-6.62%,90
STARSHIP,StarShip,$1.6 M,$0.09 ,$5.5 K,18.8 M,-7.67%,-12.32%,91
HZN,Horizon Protocol,$1.6 M,$0.03 ,$50.3 K,54 M,-6.55%,-11.23%,92
VFOX,VFOX,$1.6 M,$0.07 ,$688 ,21 M,1.40%,-8.02%,93
NFTART,NFT Art Finance,$1.6 M,6.35E-11,$340 K,24635.8 T,7.79%,-16.39%,94
BMON,Binamon,$1.5 M,$0.01 ,$2.5 M,170.2 M,-2.24%,-1.12%,95
ONI,ONINO,$1.5 M,$0.08 ,$8.5 K,19.8 M,-4.88%,5.21%,96
SANTA,Santa Coin,$1.5 M,3.69E-09,$2.2 K,398.2 T,-5.79%,53.00%,97
DOGGY,Doggy,$1.5 M,$0.00 ,$55.1 K,4 B,-0.36%,0.11%,98
GYRO,Gyro,$1.4 M,$3.37 ,$840 ,426.6 K,-0.74%,-4.40%,99
BUSD,Binance USD,$17.6 B,$1.00 ,$3.6 B,17.6 B,0.02%,-0.07%,
TWT,Trust Wallet Token,$1.1 B,$2.63 ,$64.5 M,416.6 M,2.42%,7.48%,1
CAKE,PancakeSwap,$645.6 M,$3.92 ,$22.6 M,164.5 M,-2.06%,-1.71%,2
RUNE,THORChain,$456.4 M,$1.38 ,$12.5 M,330.7 M,-3.04%,0.69%,3
DOME,Everdome,$75.6 M,$0.00 ,$6.3 M,24.6 B,-14.64%,17.75%,4
WRX,WazirX,$75 M,$0.16 ,$3.4 M,456.5 M,-4.60%,-3.52%,5
MBOX,Mobox,$68.6 M,$0.45 ,$5.1 M,150.9 M,-2.78%,-4.89%,6
RACA,Radio Caca,$66.8 M,$0.00 ,$2.4 M,327.2 B,-4.07%,-7.79%,7
BSW,Biswap,$64.2 M,$0.21 ,$2.6 M,305.4 M,-1.67%,-1.08%,8
QUACK,RichQuack,$54 M,1.21E-09,$5.2 M,44454.3 T,-10.32%,8.60%,9
KRD,Krypton DAO,$45.5 M,$0.93 ,$28.7 K,48.7 M,-0.62%,11.99%,10
ONUS,ONUS,$44.5 M,$0.46 ,$27.8 K,97.1 M,-0.70%,-3.29%,11
C98,Coin98,$41.7 M,$0.23 ,$9.2 M,185 M,-3.37%,-6.94%,12
ALPACA,Alpaca Finance,$40.6 M,$0.26 ,$854.1 K,154.1 M,-1.70%,-2.49%,13
ALPHA,Alpha Finance,$39.8 M,$0.09 ,$4.3 M,446.3 M,-3.86%,-1.84%,14
BTCST,BTC Standard Hashrate Token,$39 M,$5.34 ,$6.2 M,7.3 M,-11.34%,1.19%,15
SFUND,Seedify.fund,$38.4 M,$1.08 ,$3.7 M,35.5 M,-3.22%,0.71%,16
WWY,WeWay,$35.3 M,$0.01 ,$1.2 M,2.5 B,-1.46%,15.61%,17
BAKE,BakeryToken,$32.3 M,$0.17 ,$3 M,192.5 M,-6.39%,-12.51%,18
YOOSHI,YooShi,$29.9 M,8.00E-08,$2.8 M,373.9 T,-2.50%,-7.49%,19
ALPINE,Alpine F1 Team Fan Token,$28.8 M,$2.53 ,$1.6 M,11.4 M,-4.31%,-7.30%,20
LAZIO,Lazio Fan Token,$28.6 M,$4.67 ,$6.9 M,6.1 M,-5.49%,-11.09%,21
TKO,Tokocrypto,$27.7 M,$0.37 ,$103.2 K,75 M,6.37%,27.31%,22
UNFI,Unifi Protocol DAO,$27.4 M,$4.66 ,$16.7 M,5.9 M,-5.21%,0.98%,23
KUNCI,Kunci Coin,$26.8 M,$0.02 ,$886.6 K,1.2 B,-2.78%,-10.75%,24
PORTO,FC Porto,$26.5 M,$3.40 ,$5.4 M,7.8 M,-5.89%,-11.64%,25
SANTOS,Santos FC Fan Token,$22.7 M,$5.99 ,$5.5 M,3.8 M,-7.39%,-12.55%,26
COS,Contentos,$20.8 M,$0.00 ,$1.5 M,4.2 B,-2.35%,-3.27%,27
VAI,Vai,$20.5 M,$0.97 ,$14.6 K,21.2 M,-1.30%,-0.75%,28
PINKSALE,PinkSale,$17.6 M,$176.39 ,$49.4 K,100 K,-2.39%,-3.58%,29
PIT,Pitbull,$16.7 M,4.17E-10,$558.3 K,40192.2 T,-2.36%,-2.91%,30
CATE,CateCoin,$15.8 M,$0.00 ,$1.7 M,34.4 T,-3.36%,0.34%,31
JADE,Jade Protocol,$13.8 M,$14.56 ,$3.4 K,945.9 K,0.13%,-1.18%,32
QMALL,Qmall,$10.9 M,$0.40 ,$58 K,27.3 M,-3.35%,2.62%,33
BURGER,Burger Swap,$10.2 M,$0.60 ,$3.2 M,17.1 M,-6.24%,-9.65%,34
WOOP,Woonkly Power,$10 M,$0.02 ,$91.2 K,421.1 M,-1.13%,-5.43%,35
