date,open,high,low,close,volume_usd
11/16/2022,0.00000231,0.00000233,0.00000224,0.00000226,7.31
11-4-2022,0.00000281,0.00000301,0.00000279,0.00000301,51.49
11-3-2022,0.00000278,0.00000294,0.00000276,0.00000286,165.06
10/31/2022,0.00000255,0.00000274,0.00000249,0.00000265,7.78
10/29/2022,0.00000243,0.00000244,0.00000241,0.00000241,111.39
10/27/2022,0.00000237,0.0000024,0.00000233,0.00000235,6.36
10/25/2022,0.00000231,0.00000238,0.00000229,0.00000233,45.57
10/19/2022,0.00000224,0.00000225,0.00000222,0.00000224,6.45
10/17/2022,0.00000226,0.00000229,0.00000224,0.00000228,68.66
10-11-2022,0.00000234,0.00000234,0.00000226,0.00000226,24.44
10-10-2022,0.00000241,0.00000241,0.00000228,0.00000228,184.06
10-9-2022,0.00000252,0.00000252,0.00000251,0.00000252,77.48
10-8-2022,0.00000248,0.00000262,0.00000248,0.00000262,150.51
10-4-2022,0.00000252,0.00000266,0.00000252,0.00000266,52.9
10-3-2022,0.0000026,0.0000026,0.00000257,0.00000257,131.38
10-2-2022,0.00000259,0.00000265,0.00000255,0.00000261,4.7
10-1-2022,0.00000265,0.00000265,0.00000258,0.0000026,44.9
9/30/2022,0.00000265,0.0000027,0.00000262,0.00000265,11.97
9/29/2022,0.00000264,0.00000271,0.00000264,0.00000271,64.44
9/27/2022,0.00000269,0.00000274,0.00000261,0.00000261,88.36
9/26/2022,0.00000266,0.00000276,0.00000266,0.00000276,18.67
9/25/2022,0.00000267,0.00000272,0.00000264,0.00000267,4.81
9/24/2022,0.0000027,0.00000278,0.00000268,0.00000268,17.5
9/23/2022,0.0000027,0.00000274,0.00000265,0.00000272,9.83
9/22/2022,0.00000259,0.00000272,0.00000259,0.0000027,7.3
9/21/2022,0.0000027,0.00000273,0.00000262,0.00000262,46.63
9/20/2022,0.00000274,0.00000275,0.00000268,0.0000027,34.91
9/19/2022,0.00000261,0.00000272,0.00000258,0.00000272,49.67
9/18/2022,0.00000274,0.00000274,0.00000268,0.00000269,154.61
9/17/2022,0.00000285,0.00000285,0.00000275,0.00000275,213
9/14/2022,0.0000031,0.00000316,0.00000305,0.00000312,6.98
9-9-2022,0.00000307,0.00000313,0.00000307,0.00000313,130.93
9-8-2022,0.00000301,0.00000301,0.00000299,0.00000299,213.14
9-7-2022,0.00000286,0.00000311,0.00000286,0.00000311,109.91
9-6-2022,0.00000312,0.00000314,0.00000289,0.00000289,23.05
9-5-2022,0.00000308,0.00000325,0.00000306,0.00000306,90.66
9-4-2022,0.00000329,0.00000329,0.00000316,0.00000316,393.03
9-3-2022,0.00000355,0.00000357,0.00000351,0.00000355,7.19
9-2-2022,0.00000339,0.00000344,0.00000333,0.00000338,49.93
9-1-2022,0.00000346,0.00000346,0.00000336,0.00000336,292.53
8/31/2022,0.00000351,0.0000036,0.00000345,0.00000347,12.53
8/29/2022,0.00000352,0.00000366,0.00000349,0.00000361,23.56
8/28/2022,0.00000352,0.00000359,0.00000346,0.00000351,14.12
8/27/2022,0.00000345,0.00000351,0.00000345,0.00000351,127.93
8/26/2022,0.00000374,0.00000374,0.00000339,0.00000339,154
8/25/2022,0.00000375,0.00000401,0.00000375,0.00000401,36.13
8/24/2022,0.00000389,0.00000389,0.00000368,0.00000368,386.69
8/23/2022,0.00000418,0.00000418,0.00000398,0.00000398,161.6
8/22/2022,0.00000404,0.00000409,0.0000039,0.00000403,201.92
8/21/2022,0.0000035,0.00000375,0.0000035,0.00000372,8.07
8/20/2022,0.00000346,0.00000364,0.00000346,0.00000359,54.84
8/19/2022,0.00000376,0.00000376,0.00000349,0.00000354,27.97
8/18/2022,0.00000377,0.00000381,0.00000373,0.00000376,43.97
8/17/2022,0.00000417,0.00000417,0.00000387,0.00000387,521.01
8/16/2022,0.00000416,0.00000416,0.00000411,0.00000416,189.22
8/15/2022,0.00000415,0.00000417,0.00000415,0.00000415,254.87
8/14/2022,0.00000423,0.00000447,0.00000415,0.00000415,719.97
8/13/2022,0.0000039,0.00000437,0.0000039,0.00000392,227.69
8-12-2022,0.0000044,0.0000044,0.0000042,0.0000042,630.3
8-11-2022,0.00000435,0.00000442,0.00000435,0.00000439,119.79
8-10-2022,0.00000453,0.00000453,0.00000433,0.00000433,421.06
8-9-2022,0.00000432,0.00000451,0.00000432,0.00000451,532.88
8-8-2022,0.00000456,0.00000474,0.00000456,0.00000474,360.3
8-7-2022,0.00000453,0.00000465,0.00000444,0.0000046,80.94
8-6-2022,0.00000488,0.00000498,0.00000484,0.00000489,40.27
8-5-2022,0.0000047,0.00000486,0.0000047,0.00000485,95.57
8-4-2022,0.000005,0.000005,0.00000468,0.00000468,845.29
8-3-2022,0.00000465,0.00000495,0.00000465,0.00000495,78.95
8-2-2022,0.00000469,0.00000483,0.00000458,0.00000473,21.65
8-1-2022,0.0000045,0.00000461,0.00000431,0.00000431,313.44
7/31/2022,0.00000492,0.00000507,0.00000486,0.00000488,43.96
7/30/2022,0.00000491,0.00000502,0.00000484,0.00000491,92.41
7/29/2022,0.00000492,0.00000492,0.00000488,0.00000488,496.71
7/28/2022,0.00000441,0.0000049,0.00000441,0.0000049,115.73
7/27/2022,0.00000441,0.00000482,0.00000441,0.0000048,18.79
7/26/2022,0.0000043,0.00000441,0.0000043,0.00000437,130.16
7/25/2022,0.00000468,0.00000468,0.0000043,0.0000043,139.42
7/24/2022,0.00000461,0.00000461,0.00000436,0.00000436,12.39
7/23/2022,0.00000458,0.00000458,0.00000432,0.00000432,147.67
7/22/2022,0.00000473,0.00000473,0.00000425,0.00000425,209.38
7/21/2022,0.00000454,0.00000454,0.00000438,0.00000438,207.82
7/20/2022,0.00000492,0.00000492,0.00000466,0.00000466,951.67
7/19/2022,0.00000478,0.00000528,0.00000478,0.00000528,103.12
7/18/2022,0.00000473,0.00000496,0.00000473,0.00000478,676.03
7/17/2022,0.00000518,0.00000518,0.0000051,0.00000512,42.61
7/16/2022,0.00000489,0.00000517,0.00000489,0.00000517,106.72
7/15/2022,0.00000496,0.00000496,0.0000048,0.0000048,178.05
7/14/2022,0.00000483,0.00000502,0.00000474,0.00000474,749.32
7/13/2022,0.00000495,0.00000497,0.00000477,0.00000477,543.4
7-12-2022,0.00000477,0.00000495,0.00000477,0.0000048,113.93
7-11-2022,0.00000516,0.00000516,0.00000474,0.00000474,429.56
7-10-2022,0.00000529,0.00000529,0.00000515,0.00000515,235.66
7-9-2022,0.00000515,0.00000525,0.00000505,0.00000505,578.25
7-8-2022,0.00000508,0.00000522,0.00000504,0.00000513,74.1
7-7-2022,0.00000548,0.00000548,0.00000507,0.00000507,716.85
7-6-2022,0.00000488,0.00000521,0.00000488,0.00000521,200.1
7-5-2022,0.00000513,0.00000513,0.00000487,0.00000487,630.86
7-4-2022,0.00000479,0.00000512,0.00000479,0.00000512,115.2
7-3-2022,0.00000471,0.00000478,0.00000467,0.00000478,587.58
7-2-2022,0.0000046,0.00000462,0.00000435,0.00000435,103.36
7-1-2022,0.00000481,0.00000481,0.0000046,0.0000046,33.84
6/30/2022,0.0000047,0.0000047,0.00000448,0.00000461,228.6
6/29/2022,0.00000439,0.00000462,0.00000435,0.00000435,236.57
6/28/2022,0.00000502,0.00000502,0.00000475,0.00000475,570.48
6/27/2022,0.00000529,0.00000541,0.00000499,0.00000499,891.31
6/26/2022,0.00000533,0.00000555,0.00000528,0.00000528,618.42
6/25/2022,0.00000548,0.00000576,0.00000548,0.00000576,245.86
6/24/2022,0.00000532,0.00000569,0.00000532,0.00000545,756.87
6/23/2022,0.00000484,0.00000498,0.00000484,0.00000493,278.04
6/22/2022,0.00000513,0.00000513,0.00000482,0.00000482,785.5
6/21/2022,0.00000479,0.00000504,0.00000479,0.00000485,850.85
6/20/2022,0.0000048,0.0000048,0.00000457,0.00000457,842.99
6/19/2022,0.00000445,0.00000496,0.00000443,0.00000496,147.66
6/18/2022,0.00000479,0.00000479,0.00000392,0.00000392,196.13
6/17/2022,0.00000424,0.00000471,0.00000424,0.00000471,211.94
6/16/2022,0.00000543,0.00000543,0.0000043,0.0000043,183.45
6/15/2022,0.000005,0.000005,0.00000451,0.00000479,294.27
