"link_link__eO8iL","link_link__eO8iL href","icon_image-icon__8UXqV src","brandGroup_name__DNvcT","brandGroup_ticker__DDHxA","price","row-24-price-change","rt-td","link_link__eO8iL 2","link_link__eO8iL 3","link_link__eO8iL 4","link_link__eO8iL 5"
"1","https://www.stakingrewards.com/earn/ethereum-2-0/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/eth.svg","Ethereum","ETH","$1,267.38","-1.45%","4.11%","4.15%","$20,904,027,691","$152,672,040,698","13.44%"
"2","https://www.stakingrewards.com/earn/cardano/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/cardano.svg","Cardano","ADA","$0.31","-1.54%","3.45%","-0.15%","$7,805,916,580","$10,902,632,383","71.21%"
"3","https://www.stakingrewards.com/earn/binance-smart-chain/","https://cms.stakingrewards.com/wp-content/uploads/2021/02/bnb-icon.svg","BNB Chain","BNB","$287.65","-1%","3.44%","3.49%","$6,090,405,136","$46,964,601,446","87.42%"
"4","https://www.stakingrewards.com/earn/solana/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F02%2Fsol-e1613078093575.jpg&w=64&q=75","Solana","SOL","$13.63","-0.94%","7.25%","1.42%","$5,100,800,052","$4,991,867,748","69.75%"
"5","https://www.stakingrewards.com/earn/avalanche/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F11%2Favalanche-e1604489866829.jpg&w=64&q=75","Avalanche","AVAX","$13.43","-0.37%","8.21%","2.79%","$3,401,658,859","$4,172,663,210","60.8%"
"6","https://www.stakingrewards.com/earn/polkadot/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2019%2F08%2Fpolkadot-logo-e1644428703108.jpeg&w=64&q=75","Polkadot","DOT","$5.28","-3.12%","14.5%","6.93%","$3,055,020,900","$6,229,095,029","45.79%"
"7","https://www.stakingrewards.com/earn/matic-network/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F08%2FPrimary-Token.jpg&w=64&q=75","Polygon","MATIC","$0.92","-1.23%","4.17%","2.33%","$2,985,873,702","$8,192,108,762","36.37%"
"8","https://www.stakingrewards.com/earn/tron/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F08%2FTron-logo-e1628625763406.jpg&w=64&q=75","Tron","TRX","$0.05","1.02%","3.55%","1.51%","$2,286,630,383","$5,046,188,380","45.31%"
"9","https://www.stakingrewards.com/earn/cosmos/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Cosmos Hub","ATOM","$9.68","-1.63%","19.25%","5.98%","$1,973,931,913","$2,830,027,095","64.6%"
"10","https://www.stakingrewards.com/earn/dfinity/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Internet Computer","ICP","$4.32","0%","7.59%","-3.08%","$1,582,018,857","$1,187,622,071","74%"
"11","https://www.stakingrewards.com/earn/algorand/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Algorand","ALGO","$0.22","-0.9%","7.37%","3.31%","$862,934,858","$1,601,709,260","52.22%"
"12","https://www.stakingrewards.com/earn/near-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","NEAR Protocol","NEAR","$1.69","-1.17%","9.63%","9.6%","$815,658,551","$1,412,696,809","43.45%"
"13","https://www.stakingrewards.com/earn/flow/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Flow","FLOW","$1.03","-1.34%","9.14%","2.39%","$703,921,695","$1,063,310,520","49.9%"
"14","https://www.stakingrewards.com/earn/elrond/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Elrond","eGLD","$45.67","1.06%","9.45%","2.36%","$671,555,840","$1,095,556,237","61%"
"15","https://www.stakingrewards.com/earn/pancakeswap/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","PancakeSwap","CAKE","$3.96","-0.5%","53.55%","35.8%","$968,486,430","$637,316,029","24.06%"
"16","https://www.stakingrewards.com/earn/gmx/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","GMX","GMX","$52.17","-4.26%","13.16%","0.7%","$480,862,889","$434,205,039","75.7%"
"17","https://www.stakingrewards.com/earn/mina/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Mina","MINA","$0.55","-1.54%","11.46%","-0.48%","$533,567,795","$420,360,610","99.06%"
"18","https://www.stakingrewards.com/earn/curve-dao-token/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Curve DAO Token","CRV","$0.65","-2.6%","1.74%","1.74%","$405,820,091","$419,647,277","117.24%"
"19","https://www.stakingrewards.com/earn/eos/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Eos","EOS","$1.04","3.39%","33.11%","31.79%","$347,531,616","$1,125,806,328","3.35%"
"20","https://www.stakingrewards.com/earn/crypto-com-coin/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Cronos","CRO","$0.06","-1.43%","10.16%","7.96%","$323,986,616","$1,618,343,677","19.59%"
"21","https://www.stakingrewards.com/earn/axie-infinity/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F08%2Faxie-infinity-e1629207397136.jpg&w=64&q=75","Axie Infinity","AXS","$8.07","-1.82%","46.05%","21.83%","$321,516,827","$916,265,239","43.18%"
"22","https://www.stakingrewards.com/earn/fantom/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F01%2FFantom-e1642186786397.jpg&w=64&q=75","Fantom","FTM","$0.24","1.85%","1.92%","-0.59%","$317,554,116","$613,470,177","47.54%"
"23","https://www.stakingrewards.com/earn/usdd/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F09%2F1-4.jpg&w=64&q=75","USDD","USDD","$0.98","-0.11%","13.65%","13.65%","$192,483,041","$708,077,423","42.4%"
"23","https://www.stakingrewards.com/earn/casper-network/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F03%2Fcasper-labs-logo.png&w=64&q=75","Casper Network","CSPR","$0.03","0.41%","9.19%","1.16%","$251,883,040","$312,299,165","80.78%"
"24","https://www.stakingrewards.com/earn/oasis-network/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F04%2Foasis-network-1-e1617724112259.jpg&w=64&q=75","Oasis Network","ROSE","$0.04","-0.72%","4.74%","-0.12%","$237,969,640","$223,299,956","53.49%"
"25","https://www.stakingrewards.com/earn/dash/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/dash.svg","Dash","DASH","$46.56","3.05%","5.6%","2.97%","$207,806,040","$514,444,549","40.27%"
"26","https://www.stakingrewards.com/earn/decred/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/decred.svg","Decred","DCR","$21.39","1.86%","8.04%","2.31%","$202,235,307","$311,602,122","65.17%"
"27","https://www.stakingrewards.com/earn/synthetix-network-token/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F09%2Fsynthetix-e1599469509369.jpg&w=64&q=75","Synthetix Network Token","SNX","$1.88","-4.57%","0%","-22.49%","$199,913,052","$451,976,005","49.4%"
"28","https://www.stakingrewards.com/earn/the-graph/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","The Graph","GRT","$0.07","3.01%","8.42%","5.28%","$199,576,685","$486,745,923","28.75%"
"29","https://www.stakingrewards.com/earn/aave/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Aave","AAVE","$61.73","-2.6%","6.23%","4.89%","$198,725,170","$876,105,302","20.59%"
"30","https://www.stakingrewards.com/earn/band-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Band Protocol","BAND","$2.05","-3.76%","10.4%","1.88%","$194,182,068","$247,058,359","73.19%"
"31","https://www.stakingrewards.com/earn/osmosis/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Osmosis","OSMO","$0.9","-2.14%","22.19%","-13.01%","$193,031,801","$445,877,943","43.22%"
"32","https://www.stakingrewards.com/earn/kusama/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kusama","KSM","$29.19","-2.54%","13.69%","5.74%","$191,076,187","$262,165,308","50.18%"
"33","https://www.stakingrewards.com/earn/olympus/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Olympus","OHM","$9.13","-0.33%","7.2%","2%","$186,953,248","$265,113,100","70.42%"
