serial,token_name,token,price_usd,24hr_price_prc_change,reward_prc,adj_reward_prc,staking_market_cap_usd,market_cap_usd,staking_ratio
1,Ethereum,ETH,1267.3800,-0.0145,0.0411,0.0415,20904027691.0000,152672040698.00,0.1344
2,Cardano,ADA,0.3100,-0.0154,0.0345,-0.0015,7805916580.0000,10902632383.00,0.7121
3,BNB Chain,BNB,287.6500,-0.0100,0.0344,0.0349,6090405136.0000,46964601446.00,0.8742
4,Solana,SOL,13.6300,-0.0094,0.0725,0.0142,5100800052.0000,4991867748.00,0.6975
5,Avalanche,AVAX,13.4300,-0.0037,0.0821,0.0279,3401658859.0000,4172663210.00,0.6080
6,Polkadot,DOT,5.2800,-0.0312,0.1450,0.0693,3055020900.0000,6229095029.00,0.4579
7,Polygon,MATIC,0.9200,-0.0123,0.0417,0.0233,2985873702.0000,8192108762.00,0.3637
8,Tron,TRX,0.0500,0.0102,0.0355,0.0151,2286630383.0000,5046188380.00,0.4531
9,Cosmos Hub,ATOM,9.6800,-0.0163,0.1925,0.0598,1973931913.0000,2830027095.00,0.6460
10,Internet Computer,ICP,4.3200,0.0000,0.0759,-0.0308,1582018857.0000,1187622071.00,0.7400
11,Algorand,ALGO,0.2200,-0.0090,0.0737,0.0331,862934858.0000,1601709260.00,0.5222
12,NEAR Protocol,NEAR,1.6900,-0.0117,0.0963,0.0960,815658551.0000,1412696809.00,0.4345
13,Flow,FLOW,1.0300,-0.0134,0.0914,0.0239,703921695.0000,1063310520.00,0.4990
14,Elrond,eGLD,45.6700,0.0106,0.0945,0.0236,671555840.0000,1095556237.00,0.6100
15,PancakeSwap,CAKE,3.9600,-0.0050,0.5355,0.3580,968486430.0000,637316029.00,0.2406
16,GMX,GMX,52.1700,-0.0426,0.1316,0.0070,480862889.0000,434205039.00,0.7570
17,Mina,MINA,0.5500,-0.0154,0.1146,-0.0048,533567795.0000,420360610.00,0.9906
18,Curve DAO Token,CRV,0.6500,-0.0260,0.0174,0.0174,405820091.0000,419647277.00,1.1724
19,Eos,EOS,1.0400,0.0339,0.3311,0.3179,347531616.0000,1125806328.00,0.0335
20,Cronos,CRO,0.0600,-0.0143,0.1016,0.0796,323986616.0000,1618343677.00,0.1959
40,DeFiChain,DFI,0.4900,0.0007,0.2743,0.1940,96008507.0000,305861650.00,0.2084
41,Kava,KAVA,0.8800,0.0140,0.1584,-0.5441,95639724.0000,303142720.00,0.3170
42,WAX,WAXP,0.0600,0.0081,0.0460,-0.0039,95000158.0000,133184429.00,0.7134
43,Livepeer,LPT,7.2400,-0.0123,0.2069,0.0910,90803761.0000,189655434.00,0.5040
44,Api3,API3,1.4400,0.0000,0.2275,0.0858,88797553.0000,102552517.00,0.0057
45,Harmony,ONE,0.0100,-0.0197,0.0689,0.0336,85949423.0000,176689574.00,0.4631
46,IoTeX,IOTX,0.0200,-0.0038,0.0556,0.0499,83242462.0000,216630469.00,0.3395
47,LooksRare,LOOKS,0.1400,0.0367,0.4240,0.2171,83866933.0000,78739498.00,0.7376
48,Sushi,SUSHI,1.1800,-0.0084,0.0650,0.0650,77641473.0000,228359813.00,0.2718
49,ICON,ICX,0.1800,0.0009,0.1025,0.0401,74227178.0000,160445001.00,0.0044
50,Juno,JUNO,1.5600,-0.0769,0.3895,0.1886,69570913.0000,101364052.00,0.4783
51,SKALE,SKL,0.0300,-0.0152,0.1021,0.0240,68617055.0000,103502577.00,0.6633
52,Persistence,XPRT,0.5600,-0.0044,0.2906,0.0524,67357193.0000,76206813.00,0.7578
53,Evmos,EVMOS,0.4700,0.0011,1.2467,0.3000,58657326.0000,173165652.00,0.3405
