serial,token_name,token,price_usd,price_24h,reward_pct,adjst_reward_pct,staking_marketcap,market_cap,staking_ratio
1,Ethereum,ETH,1251.8700,-1.76%,0.0419,0.0414,20642440615,150903910544,0.1349
2,Cardano,ADA,0.3100,-2.55%,0.0350,-0.0010,7653097052,10709854119,0.7115
3,BNB Chain,BNB,276.8700,-4.49%,0.0334,0.0856,5831968517,45101808542,0.8744
4,Solana,SOL,13.1700,-3.87%,0.0761,0.0178,4935016376,4821720985,0.7002
5,Avalanche,AVAX,12.8000,-4.83%,0.0854,0.0334,3187776486,3971479234,0.6005
6,Polkadot,DOT,5.1300,-3.21%,0.1558,0.0851,2970460203,6072490752,0.4579
7,Polygon,MATIC,0.8900,-2.61%,0.0659,0.0396,2878857647,7928843939,0.3636
8,Tron,TRX,0.0500,-3.37%,0.0363,0.0162,2181777782,4846879646,0.4515
9,Cosmos Hub,ATOM,9.5900,-2.54%,0.2122,0.0795,1953518967,2804928721,0.6460
10,Internet Computer,ICP,4.1600,-5.24%,0.0792,-0.0296,1506217685,1160186719,0.7403
11,Algorand,ALGO,0.2200,-4.68%,0.0765,0.0372,825653796,1542073023,0.5222
12,NEAR Protocol,NEAR,1.6000,-5.33%,0.1025,0.0451,757949374,1341089595,0.4290
13,Elrond,eGLD,44.3700,-2.38%,0.0983,0.0290,651837203,1063164307,0.6151
14,Flow,FLOW,0.9400,-8.76%,0.0956,0.0297,640263733,975563025,0.4985
15,PancakeSwap,CAKE,3.8800,-2.76%,0.7036,0.5737,945681614,613047674,0.2406
16,GMX,GMX,58.3400,2.58%,0.1275,0.0033,521234957,482327264,0.7540
17,Mina,MINA,0.5500,-2.05%,0.1216,0.0016,530205195,420054860,0.9892
18,Curve DAO Token,CRV,0.6100,-5.77%,0.0168,0.0168,378409582,396000912,1.1742
19,Eos,EOS,0.9700,-6.82%,0.3922,0.3822,324700329,1056898917,0.0335
20,Cronos,CRO,0.0600,-2.87%,0.1064,0.0843,314502418,1565718855,0.1969
11,Algorand,ALGO,0.2200,-4.68%,0.0765,0.0372,825653796,1542073023,0.5222
12,NEAR Protocol,NEAR,1.6000,-5.33%,0.1025,0.0451,757949374,1341089595,0.4290
13,Elrond,eGLD,44.3700,-2.38%,0.0983,0.0290,651837203,1063164307,0.6151
14,Flow,FLOW,0.9400,-8.76%,0.0956,0.0297,640263733,975563025,0.4985
15,PancakeSwap,CAKE,3.8800,-2.76%,0.7036,0.5737,945681614,613047674,0.2406
16,GMX,GMX,58.3400,2.58%,0.1275,0.0033,521234957,482327264,0.7540
17,Mina,MINA,0.5500,-2.05%,0.1216,0.0016,530205195,420054860,0.9892
18,Curve DAO Token,CRV,0.6100,-5.77%,0.0168,0.0168,378409582,396000912,1.1742
19,Eos,EOS,0.9700,-6.82%,0.3922,0.3822,324700329,1056898917,0.0335
20,Cronos,CRO,0.0600,-2.87%,0.1064,0.0843,314502418,1565718855,0.1969
21,Axie Infinity,AXS,7.6500,-6.36%,0.5844,0.3856,304700256,869913625,0.4318
22,Fantom,FTM,0.2300,-3.42%,0.0194,-0.0084,304183811,590910981,0.4753
23,USDD,USDD,0.9800,0.42%,0.1678,0.1678,192147777,710407757,0.4240
23,Casper Network,CSPR,0.0300,-2.70%,0.0963,0.0168,253645813,312272709,0.8083
24,Oasis Network,ROSE,0.0400,-4.75%,0.0482,-0.0001,230461870,217033557,0.5353
25,Dash,DASH,48.3100,2.70%,0.0575,0.0312,213767290,533214549,0.4026
26,The Graph,GRT,0.0700,-2.92%,0.0922,0.0624,204705798,503626492,0.2879
27,Decred,DCR,20.6600,-3.59%,0.0842,0.0277,195690829,300528719,0.6530
28,Synthetix Network Token,SNX,1.8300,-6.15%,0.0023,-0.2249,194596216,439875068,0.4940
29,Osmosis,OSMO,0.9100,-6.63%,0.2495,-0.1538,194021750,451560375,0.4299
30,Aave,AAVE,59.1400,-3.41%,0.0643,0.0515,189547294,839281279,0.2059
31,Olympus,OHM,9.3300,0.54%,0.0710,0.0184,188624110,265969109,0.7127
32,Kusama,KSM,28.5600,-4.96%,0.1467,0.0716,185719521,256280487,0.5018
33,Band Protocol,BAND,1.9400,-3.96%,0.1102,0.0246,184763851,234461788,0.7317
34,Thorchain,RUNE,1.3700,-2.84%,0.2560,0.2116,164807713,413507539,0.4001
35,Stacks,STX,0.3000,2.32%,0.0685,0.0681,148689077,402714978,0.3702
36,Radix,XRD,0.0400,-0.85%,0.1092,0.0776,124871818,384215646,0.2631
37,Zilliqa,ZIL,0.0200,-3.71%,0.1171,0.0776,122464727,365896265,0.3352
38,Chain,XCN,0.0400,-0.73%,0.1399,0.1209,115638525,797133489,0.1452
39,Secret Network,SCRT,0.7400,-6.88%,0.3031,0.1302,107975669,139304523,0.6051
21,Axie Infinity,AXS,7.6400,-6.49%,0.5844,0.3856,304700256,867406763,0.4318
22,Fantom,FTM,0.2300,-3.55%,0.0194,-0.0084,304183811,589711637,0.4753
23,USDD,USDD,0.9800,0.41%,0.1678,0.1678,192147777,710604562,0.4240
23,Casper Network,CSPR,0.0300,-3.03%,0.0963,0.0168,253645813,313522338,0.8083
24,Oasis Network,ROSE,0.0400,-4.91%,0.0482,-0.0001,230461870,216755736,0.5353
25,Dash,DASH,48.2800,2.64%,0.0575,0.0312,213767290,533099055,0.4026
26,The Graph,GRT,0.0700,-3.18%,0.0922,0.0624,204705798,500740131,0.2879
27,Decred,DCR,20.5800,-3.97%,0.0842,0.0277,195690829,299940850,0.6530
28,Synthetix Network Token,SNX,1.8300,-6.15%,0.0023,-0.2249,194596216,439583554,0.4940
29,Osmosis,OSMO,0.9100,-6.64%,0.2495,-0.1538,194021750,451122852,0.4299
30,Aave,AAVE,59.0600,-3.54%,0.0643,0.0515,189547294,838065666,0.2059
31,Olympus,OHM,9.3300,0.54%,0.0710,0.0184,188624110,264069765,0.7127
32,Kusama,KSM,28.5000,-5.16%,0.1467,0.0716,185719521,255904824,0.5018
33,Band Protocol,BAND,1.9400,-3.96%,0.1102,0.0246,184763851,235250284,0.7317
34,Thorchain,RUNE,1.3700,-2.84%,0.2560,0.2116,164807713,412793097,0.4001
35,Stacks,STX,0.3000,2.69%,0.0685,0.0681,148689077,401693893,0.3702
36,Radix,XRD,0.0400,-0.72%,0.1092,0.0776,124871818,382376152,0.2631
37,Zilliqa,ZIL,0.0200,-3.82%,0.1171,0.0776,122464727,365649784,0.3352
38,Chain,XCN,0.0400,-0.57%,0.1399,0.1209,115638525,796030436,0.1452
39,Secret Network,SCRT,0.7400,-6.99%,0.3031,0.1302,107975669,138969844,0.6051
40,DeFiChain,DFI,0.4800,-2.33%,0.3150,0.2478,94165454,299921379,0.2085
41,Kava,KAVA,0.9700,-8.16%,0.1737,-0.5303,93190339,298579832,0.3141
42,WAX,WAXP,0.0600,-4.54%,0.0471,-0.0029,91855110,128987291,0.7121
43,LooksRare,LOOKS,0.1600,-1.28%,0.4854,0.3155,96579770,89066877,0.7460
44,Livepeer,LPT,6.7700,-6.88%,0.2298,0.1139,84775295,177888867,0.5040
45,Api3,API3,1.3700,-6.16%,0.2548,0.1245,84349918,97653085,0.0057
46,Harmony,ONE,0.0100,-3.80%,0.0713,0.0371,82523133,170004008,0.4634
47,IoTeX,IOTX,0.0200,-4.92%,0.0571,0.0517,80916665,210249973,0.3395
48,Sushi,SUSHI,1.1200,-5.08%,0.0521,0.0521,74378402,216188634,0.2721
49,ICON,ICX,0.1700,-6.63%,0.1077,0.0477,71991116,155139895,0.0044
50,Persistence,XPRT,0.5900,-1.91%,0.3349,0.0976,71151476,80278875,0.7594
51,Juno,JUNO,1.5400,-3.14%,0.4744,0.2738,69319250,99819495,0.4789
52,SKALE,SKL,0.0200,-6.61%,0.1070,0.0308,65129547,98907693,0.6633
53,NEM,XEM,0.0300,0.50%,0.1022,0.0965,58104693,302168251,0.0019
54,Illuvium,ILV,47.1100,-4.23%,0.0000,-0.1244,57661064,86529890,0.1638
55,Hive,HIVE,0.3400,-5.02%,0.0305,-0.0392,55821058,125961457,0.7204
56,Evmos,EVMOS,0.4100,-9.17%,1.2353,0.2972,51489420,151799913,0.3413
57,Lisk,LSK,0.8000,-4.17%,0.0000,0.0000,50100977,115937244,0.4354
58,Waves,WAVES,1.8100,-11.27%,0.1284,0.0997,47336700,180638922,0.2375
59,SwissBorg,CHSB,0.2400,0%,0.1595,0.1303,46849248,225384323,0.1975
60,Injective,INJ,1.6000,-3.61%,0.1639,0.0728,45775710,124743400,0.5414
61,DAO Maker,DAO,0.8500,-2.90%,0.0997,0.0997,44467284,107538770,0.4133
62,Ontology,ONT,0.1800,-6.32%,0.2098,0.2098,41087235,154980516,0.2657
63,Audius,AUDIO,0.1500,-4.53%,0.2647,0.1903,40633746,136708561,0.2452
64,IOST,IOST,0.0100,-5.36%,0.0917,0.0517,39890137,192970467,0.2278
65,Horizen,ZEN,9.9400,-4.05%,0.0892,0.0792,34608911,130720074,0.2658
66,Divi,DIVI,0.0100,0.60%,0.2270,0.0769,34199765,48012135,0.7117
67,Cartesi,CTSI,0.1200,-5.35%,0.2184,0.1402,33171878,76681321,0.4351
68,Akash,AKT,0.2200,-1.96%,0.1353,0.0345,32619870,42307334,0.7374
69,SysCoin,SYS,0.1200,-2.43%,0.0611,-2.0272,29281151,78598680,0.3519
70,Canto,CANTO,0.1500,-2.41%,0.2610,-0.2917,28940386,52591502,0.1928
71,Stratis,STRAX,0.4700,-3.03%,0.0462,-0.0414,28536489,67981437,0.4201
72,Tezos,XTZ,0.9500,-5.66%,0.0577,0.0560,27491380,872361439,0.0306
73,COTI,COTI,0.0700,-4.47%,0.2500,0.2500,25406836,75687509,0.0035
74,Kyber Network,KNC,0.6100,-7.13%,0.0258,0.0258,25185479,100825872,0.2511
75,Orbs,ORBS,0.0200,-4.86%,0.0689,0.0686,23070819,70979630,0.3227
76,Regen Network,REGEN,0.1900,-7.55%,0.2992,0.0811,21178633,28032950,0.7551
77,Hydra,HYDRA,1.4700,2.80%,0.5780,0.3675,18835716,22144130,0.4612
78,Celo,CELO,0.5600,-4.48%,0.0451,0.0426,17074580,269862746,0.0564
79,Qtum,QTUM,2.2000,-4.35%,0.1868,0.1777,14536176,230122717,0.0690
80,Umee,UMEE,0.0100,-3.55%,0.3414,-0.2675,26108809,14325256,1.8134
81,Ark,ARK,0.3400,-10.42%,0.1887,0.1433,14355810,57101019,0.2370
82,Idex,IDEX,0.0500,-5.13%,0.2518,0.2518,13470761,31987692,0.4222
83,DODO,DODO,0.1100,-5.69%,1.2983,1.2218,12442410,47962653,0.2656
84,IRISnet,IRIS,0.0100,-5.64%,0.0683,0.0385,12065232,20687710,0.3975
